,COPEPODS_01,COPEPODS_05,COPEPODS_06,COPEPODS_07,COPEPODS_08,COPEPODS_09,COPEPODS_10,COPEPODS_11,COPEPODS_12,COPEPODS_14,COPEPODS_15,COPEPODS_16,COPEPODS_17,COPEPODS_18,COPEPODS_19,COPEPODS_20,COPEPODS_21,COPEPODS_22,COPEPODS_23,COPEPODS_24,COPEPODS_25,COPEPODS_26,COPEPODS_27,COPEPODS_28,COPEPODS_29,COPEPODS_30,COPEPODS_31,COPEPODS_32,COPEPODS_33,COPEPODS_34,COPEPODS_35,COPEPODS_36,COPEPODS_37,COPEPODS_38,COPEPODS_39,COPEPODS_40,COPEPODS_41,COPEPODS_42,COPEPODS_43,COPEPODS_44,COPEPODS_45,COPEPODS_46,COPEPODS_47,COPEPODS_48,COPEPODS_49,COPEPODS_50,COPEPODS_51,COPEPODS_52,COPEPODS_53,COPEPODS_54,COPEPODS_55,COPEPODS_56,COPEPODS_57,COPEPODS_58,COPEPODS_59,COPEPODS_60,COPEPODS_61
TRINITY_DN34523_c2_g6_i1.m.48137,5.208244588,5.488407646,4.456550653,3.997905923,5.770129539,5.104044536,4.818918864,5.404507972,4.521092814,4.871584844,4.536035878,5.229432147,5.573328337,4.902239774,4.481474533,4.774034178,5.706957877,4.883322313,4.917977198,NA,4.521092808,NA,NA,5.224607661,4.482232195,5.80137904,NA,4.465949451,2.95622239,NA,5.94146766,NA,NA,4.604302028,3.712232321,6.176442653,5.945115487,6.476786665,4.873938164,NA,5.193516689,NA,NA,NA,3.880981187,NA,NA,NA,NA,4.509020883,NA,NA,NA,NA,NA,5.598141514,3.884655763
TRINITY_DN34523_c2_g6_i4.m.48142,5.56334108,5.121038517,5.089182123,4.537423903,4.987721721,4.999708975,5.036509721,5.037136406,4.961076902,4.674141523,4.490592174,5.584527565,4.790918502,4.119829961,4.436035425,4.991628371,NA,5.270835814,5.457498431,5.142063601,4.153718913,4.835451003,5.31731423,NA,5.11486182,5.018971918,4.724300292,4.420501341,4.173816892,5.006476725,NA,4.70305191,4.832127858,4.558863346,5.099742676,NA,5.162710141,NA,4.09153241,4.876145614,4.411104948,5.099969702,4.942922606,4.313588446,4.68353779,4.458148897,4.446039003,4.446800493,4.853464072,3.726609385,5.163825869,5.040026011,5.466599025,5.19153768,4.783791946,4.593343159,5.102251802
TRINITY_DN34529_c0_g2_i6.m.48234,4.920380339,4.67447369,4.905649667,5.447003713,5.541157417,5.401144008,5.437943822,4.268642993,4.707157521,5.490609306,5.400176141,5.356604528,4.437462981,3.351345844,5.34561306,4.223134335,3.933664231,5.502346904,3.952042174,5.833001311,5.970192674,4.066957928,5.18625259,5.159132383,4.66829774,4.76504908,5.178198477,5.330084047,5.575251701,5.55991272,4.805606602,4.671528296,5.715713968,5.927872752,4.968680362,4.040576106,4.716144419,5.273807459,4.6449644,5.470222894,5.642614486,4.653402446,5.689004178,5.030523497,5.330084094,5.367729881,4.940583153,5.815811453,5.599546935,4.695083625,5.547336562,5.464177794,5.183536176,6.160011286,4.529872438,4.561812137,5.793191899
TRINITY_DN34539_c0_g1_i6.m.48277,0.686266978,NA,2.256482766,1.797859882,0.570054229,2.582053103,0.618827683,1.619480163,0.736037925,1.671538315,2.3359769,1.707455449,0.788321932,0.702161533,2.696445253,0.573988517,0.699517211,1.683241445,NA,2.309375742,2.736066002,1.832834855,0.729694681,0.702621088,0.697195543,NA,0.721690358,1.680917319,NA,NA,1.571493063,0.700418656,NA,0.819243808,2.097117556,0.806461601,0.745020103,0.817333233,0.673884281,1.651132821,NA,1.682322071,NA,NA,0.680897368,NA,0.706466439,0.707250324,NA,NA,1.576220881,0.814994492,0.727047844,1.603942124,0.558813334,0.590736445,0.684601215
TRINITY_DN34569_c0_g1_i1.m.48476,1.596470308,2.420960018,1.903683273,2.293040232,2.4802961,2.077240481,1.11401817,-0.470337757,2.45365956,3.04118244,1.983150896,2.617662586,1.698523655,2.782334651,1.928601067,1.484196318,2.417119153,2.763414072,2.628139925,2.219582987,1.968209951,2.328021996,2.639960941,2.612834556,2.607428246,2.026129064,1.631917058,2.761074372,2.666381311,1.820993097,2.651640153,1.610674222,1.517366659,3.18893107,2.229738207,2.301652136,1.977211711,2.534886058,2.584101679,2.146326308,1.581736957,2.399904497,2.435508477,1.806163886,2.398508285,2.213770639,2.616694052,3.07687472,1.538694514,2.219192407,2.071436112,2.532584906,2.444595394,2.514183434,2.638948863,1.500954684,2.402176325
TRINITY_DN34598_c0_g4_i3.m.48613,7.21262426,6.829214593,6.060391836,7.087173192,6.958931954,5.385957931,6.34875782,2.101453204,5.025398158,6.153497389,7.442441245,7.096307042,7.357741606,6.432080394,4.985778065,2.055957414,7.088407169,7.209627322,7.007247049,7.49178552,6.80300533,6.83836956,7.16590711,6.184590647,6.349108012,7.133918037,4.525583903,6.970251003,7.045494042,5.771236336,5.860810856,6.182410194,6.337021122,6.208145376,5.31606787,7.288430739,7.227029342,7.343661695,7.110047052,5.455037219,7.28278234,7.02227039,7.369813936,6.143444446,6.555214264,6.955431272,5.888872941,6.51112173,6.865318302,6.375892918,4.865574691,7.296989518,7.016347095,7.295387889,5.040758771,NA,6.488500491
TRINITY_DN34612_c0_g1_i1.m.48878,7.833566199,8.162638458,7.545819381,8.335100192,7.251713745,7.39494749,7.300502992,7.30113203,7.19532263,7.545814995,7.94723373,8.206224111,7.778073962,7.313436206,7.629636463,7.111229878,7.158795981,8.142513562,8.094709327,7.657594782,8.112860511,7.514479513,7.604027855,7.451377262,7.940733894,7.668254045,7.711451117,7.777605762,7.999690788,7.633039719,7.030735105,7.79712081,7.420010956,7.568040986,7.325056975,7.796225165,7.426700977,7.807061658,7.963205447,7.262393528,7.208782004,8.100927026,7.914134347,7.38689821,7.828233067,7.914788814,6.995787191,7.751436299,7.824676317,7.598285579,7.113503484,8.274269609,7.186272226,7.847485527,7.307546698,7.127981639,7.781282364
TRINITY_DN34612_c0_g2_i14.m.48899,6.506326616,7.008882118,6.906636334,6.617914288,6.390138346,7.080199975,5.853965734,7.661948808,7.693642892,6.906631922,6.24915692,6.427977,6.508840155,6.200321722,6.931560004,7.487154104,6.313162385,6.503330513,6.438453172,6.885517385,6.349688474,6.993941586,6.2278804,5.785721858,6.610389331,6.877067402,7.335303215,7.179064685,6.839270568,7.202443301,5.484660161,6.861544944,6.60776385,6.902386192,6.512809428,6.96756367,7.117666978,7.18990525,6.172019078,6.023749048,6.906633735,6.595495772,6.718558023,7.394078916,6.916032478,6.80167492,5.789563207,6.707863027,6.629099138,6.337614452,6.737354258,6.728196389,6.640198412,6.604603505,7.279321737,7.896223582,6.597779864
TRINITY_DN34612_c0_g2_i12.m.48897,6.760787068,5.903446635,6.093982756,6.220298344,6.185166455,6.197154939,6.041310597,5.819546365,6.35116718,6.093977933,5.366112919,6.129896731,6.210758258,5.902239774,6.311551163,6.358998447,4.314644623,5.88332002,6.140372207,6.146862754,5.35116907,6.032894965,7.152191066,5.317714291,6.119661892,6.21641654,6.144136597,6.10337659,5.693193735,6.788884936,3.186574822,6.315535151,6.222219721,5.434380296,5.712227399,5.006519752,6.360154206,4.432392101,5.610904637,5.266233902,5.608552203,6.297413342,5.333014408,6.189107401,6.103378371,6.333668894,5.643484607,4.32232161,6.413481297,6.509017828,6.19134568,6.015076533,6.149471759,6.388983868,6.495813468,6.205825571,6.107052789
TRINITY_DN34612_c0_g2_i3.m.48883,7.494550089,7.926716262,6.965248813,7.158678597,7.71939857,7.527853734,7.607723044,7.69081373,7.281328026,7.617321056,7.352857106,7.856772846,7.390147701,7.46156329,7.352741936,7.382267519,7.458926784,7.629057216,7.204283194,7.01813052,7.591668035,7.434675771,7.331579372,7.304459816,7.505502025,6.280328893,6.945013757,7.440306595,7.786851512,7.013788614,7.379774444,7.245696525,6.208963618,7.930136956,7.805886928,7.462747069,6.646459013,7.576677443,7.482170673,7.307427678,6.66039187,7.94127034,6.941246296,6.060373002,7.337214501,7.789897499,7.465842467,7.778548059,7.529859788,7.532287705,7.606932713,7.17585032,7.486402466,7.675288502,7.630113919,7.446325069,7.109563527
TRINITY_DN34612_c0_g2_i4.m.48884,7.336569798,7.413819089,7.352215215,7.751550131,7.710186773,7.432669337,7.415021663,7.905034639,7.58668095,7.3819582,7.777476198,7.417876702,7.375882823,7.605258706,7.599531331,7.879151916,7.550154906,7.33357308,7.428352212,7.653024544,7.446503678,7.513520616,7.469317758,7.224606736,7.493372976,7.590126945,7.77160406,7.730843162,7.874257879,7.567191826,7.059523254,7.750357848,7.162276641,7.772986523,7.131453294,7.657068949,7.51320525,7.74590842,7.354564298,7.39071794,7.052652728,7.585394874,7.720530493,6.991660351,7.44907366,7.595654241,7.194501101,7.503384672,7.557071626,7.601078742,7.529952712,7.525450708,7.604102858,7.22324706,7.631791121,7.836197452,7.137875712
TRINITY_DN34612_c0_g2_i6.m.48889,6.859237749,7.152001302,6.918510507,7.182329571,7.624404861,7.414001807,7.298799112,6.714464772,7.790406104,8.022842864,7.534049302,6.954424765,7.52071414,7.485214079,6.869433295,7.586490839,7.668990813,6.60831358,7.730435048,7.73692724,7.246085264,7.887170687,7.409679064,7.985223454,6.870190435,7.625908007,7.85619088,7.512867046,7.266182524,7.268765916,7.955966936,6.795416165,7.390155993,7.788729214,6.960783026,6.90143632,7.255072176,7.134665135,7.299370592,7.74611644,7.181542211,7.066800773,7.597165387,7.543455856,6.775903014,7.772906551,7.916915001,7.880202113,7.801438848,7.649048782,7.54569508,7.325033356,8.009624964,7.336369894,7.805768651,7.908097478,7.069084662
TRINITY_DN34612_c0_g4_i1.m.48903,6.560547203,6.407750489,6.697822905,7.0465313,6.596361874,6.55944195,6.738261397,6.783282743,6.899865978,6.545814995,6.824613749,6.350408219,6.765689395,5.52202128,6.90331834,6.693377675,6.676926796,6.660643794,6.159250569,6.843813001,6.555912483,6.344553694,5.756031233,6.680002209,6.27604446,6.000830368,6.595974518,6.385289074,6.829765786,6.167659369,6.445772604,6.52028108,6.533879749,6.331002388,6.275425515,6.449422833,6.449421763,6.521659439,6.493719648,6.294102428,6.038856757,6.55660643,6.837318888,5.941338522,6.323890081,6.695953678,6.580750067,6.581511982,6.654751477,5.9308602,6.78311396,6.182347017,6.546862258,6.581344662,6.485544921,6.880054194,6.125931061
