"","COPEPODS_01","COPEPODS_05","COPEPODS_06","COPEPODS_07","COPEPODS_08","COPEPODS_09","COPEPODS_10","COPEPODS_11","COPEPODS_12","COPEPODS_14","COPEPODS_15","COPEPODS_16","COPEPODS_17","COPEPODS_18","COPEPODS_19","COPEPODS_20","COPEPODS_21","COPEPODS_22","COPEPODS_23","COPEPODS_24","COPEPODS_25","COPEPODS_26","COPEPODS_27","COPEPODS_28","COPEPODS_29","COPEPODS_30","COPEPODS_31","COPEPODS_32","COPEPODS_33","COPEPODS_34","COPEPODS_35","COPEPODS_36","COPEPODS_37","COPEPODS_38","COPEPODS_39","COPEPODS_40","COPEPODS_41","COPEPODS_42","COPEPODS_43","COPEPODS_44","COPEPODS_45","COPEPODS_46","COPEPODS_47","COPEPODS_48","COPEPODS_49","COPEPODS_50","COPEPODS_51","COPEPODS_52","COPEPODS_53","COPEPODS_54","COPEPODS_55","COPEPODS_56","COPEPODS_57","COPEPODS_58","COPEPODS_59","COPEPODS_60","COPEPODS_61"
"TRINITY_DN35680_c1_g3_i1.m.57472",6.0551016355,6.2741816595,5.765595654,5.67826557,5.817069513,6.126605853,5.413472317,5.5606086725,5.587498076,6.131967362,6.5572236575,6.130690804,6.464884,6.235474614,5.843787076,5.062177675,5.667227019,6.320364184,6.303778863,6.297277364,5.58374772,6.022023643,5.006335978,5.945966667,6.2446915555,6.840106059,5.7490715185,5.689948914,6.073096291,5.74802999,5.340595431,6.4899824525,5.693143247,6.231360453,6.371652964,6.563888691,6.227340521,6.656107122,5.935619812,6.177607278,6.4613310945,6.146466987,6.467918793,5.57243641,6.51900595,6.3609513235,5.812568238,6.034957405,5.899257251,5.800496296,5.946424799,5.6725358035,6.0445857455,6.479322081,5.8569602,6.076656183,5.25882413
"TRINITY_DN35680_c1_g3_i5.m.57474",5.1465391385,3.2400822645,4.731501519,3.229136279,4.198012025,4.092515369,3.156980857,3.1114834175,3.331008683,4.808368124,NA,3.222132519,4.693825049,3.326916684,3.224723915,3.028088012,3.410739424,3.170796174,3.269691642,NA,3.134615077,3.402961041,5.557206318,3.326906209,NA,4.143044979,3.2999382535,3.240813058,3.302045166,3.128978958,4.306505034,NA,3.244015804,3.322796754,3.222075657,5.114758277,4.662731943,4.119514444,3.316569216,3.269043843,3.1053131765,3.237901478,NA,4.708266233,NA,3.3268614725,3.363441933,3.263896449,3.280202733,4.351361084,NA,3.2234043115,3.2735228065,3.222836341,3.237897959,3.168086874,5.224727861
"TRINITY_DN35693_c2_g3_i1.m.57600",NA,1.6892054545,NA,NA,1.647158816,2.541651011,NA,NA,1.780149804,2.672531832,1.6503120085,1.67126674,NA,NA,NA,NA,NA,1.619917975,1.718837195,1.596842927,1.583739004,1.85211732,NA,1.776044029,NA,NA,1.7490951315,1.689948914,1.751183628,1.578092085,1.755629249,1.7895393085,NA,1.771930884,NA,NA,NA,NA,1.7656993,1.718161255,NA,1.687046634,1.660558918,NA,2.818557805,2.7759944025,2.812559958,1.713049666,1.729329612,1.800493661,1.6244753,NA,1.7226712745,1.671983944,1.687011315,NA,NA
"TRINITY_DN35724_c0_g1_i1.m.57654",2.1385276675,1.8170334725,2.460458844,2.806071333,2.189999868,1.669470034,2.470888714,2.1034631245,1.907967683,1.800337696,3.3631019335,2.214097815,2.100848985,2.640815205,1.216709607,1.02005488,1.987672795,2.747734308,3.261662904,3.309612953,2.933958219,2.979907057,2.227250181,1.31888179,2.6500415685,0.135044229000001,2.2919374035,3.040153795,2.615960071,2.120966614,2.883440956,2.6543206795,2.557928849,3.1221256,2.214078058,2.10674875,NA,1.696454704,1.89350757,1.846006571,1.6822434075,2.551813284,3.01077516,1.115267941,2.361405812,2.9037926975,1.940363409,2.840844315,3.272176366,3.150704005,2.167336871,2.8003411215,2.8504653055,2.536745203,2.551825075,1.16004781,2.216725272
"TRINITY_DN35764_c0_g5_i1.m.58136",5.0360160845,4.7145291895,5.205941869,4.925968167,4.672453719,4.566954308,4.853818315,4.3228845775,5.220492067,4.920239671,4.6756460465,4.91896243,5.168266835,5.023746496,4.114210151,3.91756324,5.107574606,4.060275139,4.481096197,5.03718664,4.346022902,4.614371583,4.932113682,4.538314921,4.8105700835,4.032529021,4.5113467435,4.452224779,4.998874417,4.603416099,4.517911809,4.2298950845,4.455421678,4.212274348,4.433487724,5.174163391,4.552215162,5.468424453,5.013399284,4.158524162,3.9947888635,4.712346902,4.685875031,4.82014086,4.843876467,5.0236928245,5.060273617,4.738339513,4.754640649,4.562771975,4.386776199,4.4348094705,4.4849353205,4.697278407,4.449313875,4.3794983,4.699171904
"TRINITY_DN35801_c3_g4_i4.m.58523",4.8713045745,4.8823906965,4.949307556,4.871437724,4.337813966,4.454708988,4.171259118,4.2512796755,3.885857474,2.778235661,4.7560444665,4.236398931,4.751167094,4.203679299,4.586924228,4.582926659,4.135505193,4.532989381,4.146454985,4.790010001,4.496811379,5.045271868,4.697007283,4.341183996,4.2128979905,4.398325101,3.6621339755,4.49609448,4.55731605,4.771275594,4.446306233,3.8952516535,4.88631698,4.337067442,4.098850142,4.669597246,4.802537102,4.581242093,3.678757766,4.283318821,4.6601467025,5.316306865,4.766270934,4.926070037,4.383709301,4.6890514535,4.377712756,4.278168734,5.156969315,4.491167207,4.81767173,4.5855972995,4.6357217105,5.025605109,4.252173993,4.423373005,4.949496455
"TRINITY_DN35823_c0_g1_i1.m.58693",NA,NA,0.973526229,1.056159043,1.025029883,1.919520927,0.983995092000001,NA,NA,NA,NA,2.049151783,1.935870856,NA,NA,NA,1.237759291,0.997793303,1.096691624,0.974695984000001,0.961624717000001,2.229991954,1.062274543,NA,NA,0.970068575000001,NA,1.067843927,1.129084616,0.956006879000001,1.13354602,NA,NA,2.149796949,NA,0.941791694,0.904784284,NA,NA,NA,1.9323071335,1.064906709,1.038465929,0.950338881,NA,1.1538860845,1.190446379,NA,1.107220305,1.178353231,NA,NA,NA,2.049867702,1.064912846,NA,1.05177087
"TRINITY_DN35849_c0_g3_i1.m.58848",9.2686087995,9.4537885555,9.576276761,9.846732173,9.764385693,9.751451461,9.325598294,10.0709965565,10.16620195,9.906591133,9.6213534555,9.726344223,9.885158799,10.162101098,9.782385498,10.052309301,9.801747457,9.647528583,9.610766065,9.605826309,9.359374026,10.252511263,9.72123223,10.319143044,10.1640857875,10.027867765,10.2461625975,10.076006122,10.207616749,9.897735638,10.392654427,10.1242020825,9.673749321,10.214570248,9.960310238,9.829653155,9.752919656,9.961898009,9.755823801,9.976078477,9.9404983005,9.506054047,9.660153486,9.853796286,10.011979747,10.1031540095,10.437413807,10.148718586,9.793462594,10.066259439,9.951662221,9.8070552185,9.9647060595,9.680955942,10.230137006,10.260292581,9.635231071
"TRINITY_DN35890_c0_g1_i4.m.59234",2.1282676995,2.8067811285,2.128271923,2.21088662,2.179741842,2.074262103,2.723695227,2.6781737375,2.312764996,2.20514005,3.5048632835,2.203879797,2.675558619,2.30863869,2.791435565,2.009836307,2.392467879,2.737503348,1.251430523,2.714406554,2.701328003,2.384715645,1.217039738,2.30865205,3.3178705165,2.124801071,2.8666524085,2.222559514,2.868748624,2.110727657,1.288212141,2.3221591825,2.225751087,2.304529546,2.203814829,2.096505782,2.059501612,2.101259144,2.883266437,2.835736756,2.0870589105,2.804603659,2.778132534,2.690003468,2.351172712,2.3086005285,2.930141843,2.245640241,2.846908703,1.333092324,2.157114243,2.7901047935,1.2552420395,2.204580823,2.21963731,2.149821352,1.206483519
"TRINITY_DN35891_c0_g1_i1.m.59254",2.3153112185,NA,0.730368977,NA,2.78181939,4.376764772,1.740782446,2.2802536195,NA,0.807212456000001,NA,0.805964809,NA,NA,5.056471288,2.933824545,1.994573761,0.754610948,0.853478059000001,NA,2.303391994,NA,0.819056001,2.495689901,1.9199334785,1.726856333,0.8837666345,3.146557122,NA,1.712767826,0.890298459,1.9242183755,3.14975827,NA,NA,2.698569024,2.246542325,2.703325575,0.900405224000001,NA,1.6891220325,0.821712112,NA,1.707104769,1.953240089,NA,0.94721823,1.847700536,2.448987701,NA,NA,2.3921724765,3.4423038345,NA,NA,2.751903676,1.808562251
