,x
TRINITY_DN21133_c0_g1_i1|m.8173,2
TRINITY_DN21151_c0_g1_i1|m.8219,10
TRINITY_DN21172_c0_g1_i1|m.8224,5
TRINITY_DN21210_c0_g1_i1|m.8256,11
TRINITY_DN21234_c0_g1_i1|m.8275,2
TRINITY_DN21239_c0_g1_i1|m.8277,2
TRINITY_DN21242_c0_g1_i1|m.8272,10
TRINITY_DN21254_c0_g1_i1|m.8285,2
TRINITY_DN21278_c0_g1_i1|m.8306,5
TRINITY_DN21279_c0_g1_i1|m.8313,5
TRINITY_DN21282_c0_g1_i1|m.8315,2
TRINITY_DN21368_c0_g1_i1|m.8427,4
TRINITY_DN21412_c0_g1_i1|m.8459,3
TRINITY_DN21440_c0_g1_i1|m.8487,9
TRINITY_DN21456_c0_g1_i1|m.8495,10
TRINITY_DN21466_c0_g1_i1|m.8504,10
TRINITY_DN21538_c0_g1_i2|m.8599,10
TRINITY_DN21605_c0_g1_i1|m.8648,3
TRINITY_DN21637_c0_g1_i3|m.8635,10
TRINITY_DN21673_c0_g1_i1|m.8693,16
TRINITY_DN21699_c0_g1_i1|m.8708,16
TRINITY_DN21720_c0_g1_i1|m.8736,5
TRINITY_DN21759_c0_g1_i1|m.8767,7
TRINITY_DN21763_c0_g1_i1|m.8772,3
TRINITY_DN21791_c0_g1_i1|m.8809,10
TRINITY_DN21844_c0_g1_i1|m.8855,2
TRINITY_DN21846_c0_g4_i1|m.8858,4
TRINITY_DN21868_c0_g1_i1|m.8867,10
TRINITY_DN21877_c0_g1_i1|m.8871,18
TRINITY_DN21904_c0_g1_i1|m.8885,5
TRINITY_DN21906_c0_g1_i1|m.8887,10
TRINITY_DN21930_c0_g1_i1|m.8906,7
TRINITY_DN22024_c0_g1_i1|m.8997,10
TRINITY_DN22035_c0_g1_i6|m.9018,3
TRINITY_DN22047_c0_g1_i1|m.8979,2
TRINITY_DN22048_c0_g1_i2|m.9030,3
TRINITY_DN22089_c0_g1_i1|m.9103,3
TRINITY_DN22120_c0_g1_i1|m.9134,3
TRINITY_DN22133_c0_g1_i1|m.9148,10
TRINITY_DN22162_c0_g1_i1|m.9174,6
TRINITY_DN22186_c0_g1_i1|m.9179,15
TRINITY_DN22193_c0_g1_i1|m.9185,5
TRINITY_DN22233_c0_g2_i1|m.9235,10
TRINITY_DN22260_c0_g1_i1|m.9257,15
TRINITY_DN22275_c0_g1_i1|m.9269,2
TRINITY_DN22352_c0_g1_i1|m.9338,5
TRINITY_DN22354_c0_g1_i1|m.9315,15
TRINITY_DN22360_c0_g1_i1|m.9346,13
TRINITY_DN22416_c0_g1_i1|m.9378,14
TRINITY_DN22436_c0_g1_i1|m.9416,5
TRINITY_DN22441_c1_g2_i1|m.9388,2
TRINITY_DN22458_c0_g1_i1|m.9434,5
TRINITY_DN22499_c0_g1_i1|m.9452,4
TRINITY_DN22514_c0_g1_i1|m.9465,2
TRINITY_DN22599_c0_g1_i1|m.9536,2
TRINITY_DN22622_c0_g1_i1|m.9572,5
TRINITY_DN22627_c0_g1_i1|m.9541,5
TRINITY_DN22655_c0_g1_i1|m.9558,3
TRINITY_DN22659_c0_g1_i1|m.9610,3
TRINITY_DN22684_c0_g1_i1|m.9644,10
TRINITY_DN22769_c0_g1_i1|m.9730,10
TRINITY_DN22806_c0_g2_i1|m.9759,8
TRINITY_DN22818_c0_g1_i1|m.9778,19
TRINITY_DN22836_c0_g1_i1|m.9746,2
TRINITY_DN22858_c0_g1_i1|m.9808,5
TRINITY_DN22874_c0_g1_i1|m.9813,4
TRINITY_DN22875_c0_g1_i1|m.9830,3
TRINITY_DN22958_c0_g1_i1|m.9897,2
